,yorum,positivity
0,problem olmadi ayin 8 inde aksam 4 satin aldim 7 kargoya verildi bildirim geldi ayin 10 undada elime ulasti kayseriye geldi kargo firma basarili fifa 20 turkc badrolu yoktu kutuda fakat cd takinca turkce seceneklerde cikti sonuc olarak basarili,1
1,urun faturasiz olarak gonderiliyor bandrolsuz ama sikintisiz calisiyor urunu begendim hizli kargo iyi fiyat,1
2,urun 2 gun elime ulasti herhangi sikinti problem yasamadim sadece uzerinde turkce kapagi yoktu ,1
3,urun elime ulasti ozenle paketlenmis 3 gun teslim aldim tesekkurederim oyunlari deneme firsatim olmadi ama pes20- pes19 a benziyor ama kimseyi yaniltmak istemem buraya yazdiklarim 5 dk lik deneyimlerim,1
4,urun ambalajli geldi ama bandrollu degildi faturasi yoktu urun hizli geldi oyunda sorun yok,1
5,anlatildigi turkce oyun orjinal,1
6,muhtesem kargolanmis deniliyosa aynisi oyunlarimi burdan alicam artik ,1
7,gayet guzel ustunde ps4 bandrollu acilmamis kutu oyunlari sonradan paketleniyor anlatildigi saglam paketleme,1
8,ilgi alaka hiz muthis gonul rahatligiyla alabilirsiniz,1
9,ilgili satici saglam paketleme hizli kargo iyi alisveris,1
10,fatura gelmedi istiyorum hizli kargo ozenli paket yapilmis guvenlik bandini kendim actim oyunda sikinti yok rahatlikla alabilirsiniz ,1
11,tesekkur ederim,1
12,fifa 96dan beri hastasiyiz oyunu anlatmaya gerek yok begendim gercekten harika anlatildigi iyi zaman alisveris yaptigim magaza guvenilir uygun fiyat hizli kargo,1
13,urun gayet guzel paketlenmis bandrollu geldi sadece faturasiz gonderildi,1
14,urun guzel guvenerek siparisinizi verebilirsiniz alisveris yaptigim guvenilir firma kargo hizli paketleme ozenliydi oyun orijinal bandrolu guvenlik seridi mevcut tavsiye ederim memnun kaldik gercekten yorumlarda anlatildigi gonul rahatligiyla satin alabilirsiniz sorun olmadan elime ulasti seritli paket orjinal urun hizli kargo tesekkurler,1
15,gercekten kisa sure onaylayip gondermeniz kalitenizi belli ediyor sorunsuz elime ulasti tesekkur ederim,1
16,pazar aksami siparis verdim sali gunu teslim aldim urun sorunsuz ,1
17,hizli kargo ilgili satici uygun fiyat sms gondermeyin dedigim halde surekli sms gonderiyorsunuz 6563 sayili elektronik ticaretin duzenlenmesi kanunu geregince eger sms almak istemiyorsam sms gondermeniz yasak http w resmigazete gov tr eskiler 2014 11 20141105-1 htm magazanizdan alisveris yapmam ,0
18,urun guzel bandrollu faturali lakin kutusu cizilmis zarar gormustu o yuzden puan kirdim,0
19,oyun gorseldeki bandrollu orijinal gonderim ozenli hizliydi ,1
20,urun orjinal bandrollu emniyet seritli saglam sekilde elime ulasti konuda sikintim yok fakat sorunun kimden kaynaklandigini bilmedigim sikinti yasadim 3 gun dagitim subesi subemden 22km uzakta baska subeye gitti kargo urun pazartesi elime ulasacakken lojistik sorunlar yuzunden ayni sehirde 3 gun kargom dolasip durdu suc kimde bilmiyorum ama sali gunu yanlis subeye gelmis dendi kendiniz almaniz lazim adres orasi gozukuyor dediler sonrasinda baskasina aldirip o gun kargoma kavusacakken o arada olduysa subeye aktarmaya karar verdiler dedim bugun gelir heralde aksam kapanmadan kotu elden alirim subeye gittim urun yarin sabah gelecek dediler bosu bosuna 1 gun buradan kaybettim ozetle sorun kimde anlamadim ama pazartesi alacagim kargoyu 3 gun kovaladim yuzden 1 yildiz kirmam lazim olsa urunun sorunsuz orjinal gelmesi sevindirdi fiyati uygun oldugu emege saygisizlik etmek istemedim urun sorunsuzdur gonul rahatligiyla alabilirsiniz ,1
21,hizli kargo ozenli paketleme,1
22,tesekkurler sorunsuz kargo ,1
23,urun turkce kapakli turkce kitapcikli orjinal turkiye urunu super ,1
24,urun derece ozenli paketlenmis n11den oyun alacaksan sadece flyteknolojiden aliyorum kendime arkadasima 2 tane fifa20 ps4 aldim guvenle alabilirsiniz,1
25,fifa 20 olsun bandrollu guvenlik seritli ,1
26,sifir urun ozenle kargo,1
27,anlatildigi guzel paketlenmis bandrollu jelatiniyle geldi orjinal urun hizli kargo ayrica tesekkurler ,1
28,urun anlatildigi teknoloji magazalarinda aliyorsak oyun orjinal basarili oyun orjinal fatura olmadigi 4 puan ,1
29,gayet basarili oyun,1
30,kargodan kirik geldi oyun kutusu yazik ancak hiz anlaminda harikaydi oyun orijinal uygun fiyat urunu begendim magaza olan iletisim superdi urun gayet anlatildigi gibiydi kargo da sikinti yasamadim ama faturasiz geldigi 1 yildiz eksik verdim ğ,1
31,orjinal urun jeletini actim kargo ozenli ğ,1
32,faturasi eksik oldugu tek yildiz dustum urun ambalajli acilmamis hemen oynayacagim ğğ»,1
33,urun anlatildigi muhtesem tam istedigim gibiydi gonul rahatligiyla alabilirsiniz,1
34,hizli kargo urun orijinal lisansli,1
35,aksam 5 siparis verdim ayni anda kargoya vermisler ertesi gun sabah elime gecti zonguldak oturuyorum urun bandrollu turkce gayet guzel ambalajli faturasi yoktu onemi yok fatura yildiz eksik verdim,1
36,bandrollu urun degil gorsele aldanip aldik neyseki sorunsuz calisiyor umarim sorun cikmaz arkasinda arapca yazilar yaziyor gore alin urun anlatildigi gibiydi,1
37,mukemmelito numara,1
38,magaza iletisimi iyi urun sifir fakat jelatinde herhangi bandrol yok problemsiz calisiyor begendim tavsiye ederim ,1
39,sorunsuz magaza zaman sikinti yasamadim,1
40,gayet iyi ,1
41,gayet guzel paketlenmis orjinal bi urun,1
42,begendim ama faturasi yok,1
43,urun anlatildigi gibiydi kapali kutu kullanilan kargoyla birlikte mukemmel urun,1
44,zamaninda teslim ozenli paketleme musteri uyum iyi kolay gelsin,1
45,sorunsuz urun orjinal ğ,1
46,siparisim ertesi gun elime ulasti tesekkurler,1
47,fifadan muhtesem seri,1
48,urun saglam orjinal kutusunda bandrollu geldi teskkurler,1
49,tesekkurler urun anlatildigi sorunsuz alisveris basarili hizli kargo,1
50,urun anlatildigi gibiydi tesekkurler,1
51,begenmedim magza kotu,0
52,urun kisa surede eksiksiz elime ulasti tesekkurler,1
53,normal tesekkurler guzel tesekkur ederim,1
54,orijinal urun tavsiye ediyorum,1
55,tabiki tesekkur ederim alakaniza,1
56,magazanin gonderdigi urun resim ayni degildi uzerinde parayla satilamaz yazan esantiyon urunu sattilar ,0
57,urun harika gercektende,1
58,magaza urunlerini begeneceksiniz begendimÂ ,1
59,siparis verdigim gun kargolandi ertesi gun elime ulasti herhangi sikinti yasamadim odeme onayini unutmusum nazik hatirlatma mesaji geldi onayladim artik kusura bakmasinlarğ,1
60,guzel begendigim,1
61,hayir ğ³ urun elime gecmediki 4gundur yanlis oyun gondermisler bakalim ğ¤ gelir dogrusuğ,0
62,urun super rica ettim hizli geldi cumartesi aldim pazartesi erkenden elimdeydi oneririm tavsiye ederim,1
63,aksamustu siparis verdim sabah elimde oldu muhtesem hiz orijinal urun ,1
64,guzel urun orjinal oglum begendi tesekkurler begendim super ,1
65,urun zamaninda elime ulasti tesekkurler,1
66,begendim tesekkurler iyi satici guzel urun oneririm hizli sorunsuz alisveristi tesekkurker prjinal urun,1
67,guvenlik seriti yoktu urunun ustune tekli satilmaz yaziyodu yane ps4 urunu alip ayirip satiyolar cd yi degistirme ihtimalleri urunden haberim yok hediye olarak aldim,0
68,urun kaliteli uygun,1
69,hayir ingilizce cikti oyun,0
70,urun paketleme konusunda kargolara hizinda iyiydi fakat urun uzerinde ayri ayri satilamaz ibaresi vardi ek olarak kapakta turkce superlig yazmiyordu fakat oyun icerisinde superlig turkce urun begendim herseyi dort dortluk isteyenler gidip 100 lira vererek magazasindan almali sonuc olarak fiyat kalite orani guzel,1
71,urun sanki sifir degildi ustunde para satilmaz yaziyor bandrol yok kargolama kotuydu kargo yanlis adrese gitti gidip subeden almam gerekti acikcasi magazadan alisveris yapmam,0
72,urunu aldigim gun katgo bilgisi girildi sorgulama yaptigimda kargo bilgisi hatali bilgisini aliyordum magazaya sordugumda urunu kargoya verdiklerini ancak kargoda sorun oldugunu gun icerisinde cozeceklerini soylediler gun yeni oyunu tekrar kargoya verdiklerini belirttiler acikcasi durum pek inandirici gelmedi tahminimce firma kargoya yetistiremedigi siparisi magaza puani dusmemesi kargo yapilmis gosteriyor ayrica kutusunda oyunun turkce olduguna dair ibare yok fakat kuruldugunda oyun turkce oyanabiliyor ,0
73,hizoli guvenilir fakat gelen oyun uzerinde super lig turce olduguna dair iaber yok ayrica urunu aldiktan fiyati dustu satici konuda guzellik yapar dedim ama maalesef alisveris tavsiye ederim ozenli paketlenmis urun tesekkurler oyunda turkce super lig cikmaz isyerinize direk gelicem bilginiz olsun ayrica fatura gondermiyor ,1
74,urunu bugun kendim gidip aldim kere oynadim alisamadim 17 arasinda fark biraz pese benzemis sanki ole geldi birde superlig lisansli istedim ingiltere lisansli olani geldi,0
75,idare eder faturasi olsaydi iyi olurdu,1
76,urun saglam sekilde teslim aldim herhangi sorun yok,1
